report_school_name,report_years,matches_school_uuid,match_confidence
UNIVERSITY OF ST. THOMAS,[2012],#N/A,0
"UTAH, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",151,1
VALPARAISO UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",54,1
VANDERBILT UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",141,1
VERMONT LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",152,1
VILLANOVA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",133,1
"VIRGINIA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",153,1
WAKE FOREST UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",111,1
WASHBURN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",58,1
WASHINGTON AND LEE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",155,1
WASHINGTON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",88,1
"WASHINGTON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",158,1
WAYNE STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",79,1
WEST VIRGINIA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",161,1
WESTERN NEW ENGLAND UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",75,1
WESTERN STATE,[2012],188,0.8
WESTERN STATE COLLEGE OF LAW,"[2013, 2014, 2015, 2016, 2017]",188,1
WHITTIER COLLEGE,[2012],167,0.8
WHITTIER LAW SCHOOL,"[2013, 2014, 2015, 2016, 2017]",167,1
WIDENER UNIVERSITY,[2012],26,0.7
WIDENER UNIVERSITY-DELAWARE,"[2013, 2014, 2015, 2016, 2017]",26,1
WIDENER UNIVERSITY-HARRISBURG,"[2012, 2013]",179,0.7
WIDENER-COMMONWEALTH,"[2014, 2015, 2016, 2017]",179,1
WILLAMETTE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",127,1
WILLIAM AND MARY LAW SCHOOL,"[2013, 2014, 2015, 2016, 2017]",157,1
WILLIAM AND MARY SCHOOL OF LAW,[2012],157,0.8
WILLIAM MITCHELL COLLEGE OF LAW,"[2012, 2013, 2014, 2015, 2016]",82,1
"WISCONSIN, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",162,1
"WYOMING, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",164,1
YALE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",25,1
YESHIVA UNIVERSITY,[2012],168,0.8
